"ID","date","postcode","property_type","whether_old_or_new","freehold_or_leasehold","address1","address2","address3","town","local_aut","county","postcode_short","current_energy_rating","total_floor_area","number_habitable_rooms","co2_emissions_current","co2_emissions_potential","energy_consumption_current","energy_consumption_potential","windows_energy_eff","tenure","latitude","longitude","population","altitude","london_zone","nearest_station","water_company","average_income","district","type_of_closest_station","num_tube_lines","num_rail_lines","num_light_rail_lines","distance_to_station","asking_price","predicted_price","profit","buy"
5977,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW7","C",69,3,2.1,1,177,81,"Very Poor","owner-occupied",51.496389,-0.174807,24,15,1,"south kensington","Thames Water",50600,"Kensington and Chelsea","tube",3,0,0,0.1572142,192000,1612080.11414228,7.39625059449105,1
8684,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW18","B",49,2,0.9,0.9,107,107,"Average","owner-occupied",51.458085,-0.195393,18,9,2,"wandsworth town","Thames Water",58200,"Wandsworth","rail",0,1,0,0.5760378,131000,697741.364852604,4.3262699607069,1
7296,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"E1W","B",63,3,1.2,1.2,108,108,"Good","owner-occupied",51.511732,-0.046553,91,14,2,"limehouse","Thames Water",62600,"Tower Hamlets","light_rail",0,0,1,0.5176262,112000,513829.126255669,3.58776005585419,1
9878,NA,NA,"D","N","F",NA,NA,NA,NA,NA,NA,"TW5","E",156,5,8.4,3.6,306,131,"Average","owner-occupied",51.48513,-0.392908,60,29,5,"hounslow west","Thames Water",43800,"Hounslow","tube",1,0,0,1.2452856,271000,1074460.24308631,2.96479794496794,1
12485,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","E",69,3,3.2,2.3,276,200,"Good","owner-occupied",51.411283,-0.16215,80,22,3,"mitcham eastfields","Thames Water",47600,"Merton","rail",0,1,0,0.521976,123000,483143.98988541,2.92799991776756,1
3128,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","C",75,3,2,1.9,157,145,"Good","owner-occupied",51.408376,-0.164901,129,22,3,"mitcham eastfields","Thames Water",45700,"Merton","rail",0,1,0,0.5729308,117000,449364.521012495,2.8407224018162,1
10024,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE16","C",58,3,1.6,1.3,147,116,"Good","rental (private)",51.49129,-0.046966,58,8,2,"surrey quays","Thames Water",51800,"Southwark","light_rail",0,0,1,0.298272,140000,501852.654192625,2.58466181566161,1
9661,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW1","C",54,2,1.6,1,172,104,"Very Poor","owner-occupied",51.543129,-0.155661,47,39,2,"chalk farm","Thames Water",54500,"Camden","tube",1,0,0,0.2373748,302000,1042150.52830979,2.4508295639397,1
8632,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W2","D",39,1,1.7,1.2,252,169,"Very Poor","rental (social)",51.519176,-0.187589,254,29,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.1000454,259000,881514.46088137,2.40353073699371,1
7169,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"CR4","D",45,3,3.3,1.5,414,186,"Average","rental (social)",51.41496,-0.170735,186,18,3,"colliers wood","Thames Water",52500,"Merton","tube",1,0,0,0.7668076,262000,875061.294376501,2.33992860449046,1
3193,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W1G","C",43,2,1.9,1.2,252,165,"Average","rental (private)",51.520895,-0.151356,18,31,1,"baker street","Thames Water",73500,"Westminster","tube",6,0,0,0.5350254,325000,1063003.61546368,2.27078035527286,1
13940,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"EN4","C",50,3,1.6,1.5,187,170,"Very Poor","rental (private)",51.656496,-0.160242,42,84,5,"cockfosters","Affinity Water",54900,"Barnet","tube",1,0,0,0.7730216,152000,493023.467810038,2.24357544611867,1
4848,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW5","D",126,5,4.6,2.4,208,106,"Average","rental (private)",51.486295,-0.388676,98,32,5,"hounslow west","Thames Water",51500,"Hounslow","tube",1,0,0,1.2011662,261000,818687.895541764,2.13673523196078,1
10123,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE26","E",49,2,4.3,2.6,519,309,"Average","owner-occupied",51.424712,-0.041808,37,33,4,"lower sydenham","Thames Water",52600,"Lewisham","rail",0,1,0,0.758108,1e+05,308047.079000548,2.08047079000548,1
11008,NA,NA,"F","N","L",NA,NA,NA,"LEYTON",NA,NA,"E10","C",69,3,1.3,1.3,101,101,"Good","owner-occupied",51.569596,-0.035951,50,7,3,"lea bridge","Thames Water",54700,"Waltham Forest","rail",0,1,0,0.3628976,130000,399382.875153618,2.07217596272014,1
6887,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W12","D",36,1,2.2,1.1,323,164,"Average","rental (social)",51.506731,-0.242003,86,10,2,"shepherds bush market","Thames Water",48800,"Hammersmith and Fulham","tube",2,0,0,0.6568198,220000,669320.751401646,2.04236705182567,1
11283,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW18","E",68,3,5,5,413,413,"Average","owner-occupied",51.444229,-0.189655,67,11,3,"earlsfield","Thames Water",62700,"Wandsworth","rail",0,1,0,0.1727492,188000,570535.044550601,2.03476087526915,1
15713,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"HA0","D",65,3,3.1,1.8,271,160,"Average","rental (private)",51.551003,-0.303088,96,41,4,"wembley central","Affinity Water",47800,"Brent","tube",2,1,1,0.3343132,84000,253557.823536589,2.01854551829272,1
12265,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW8","C",47,2,1.3,1.2,157,146,"Average","rental (private)",51.527085,-0.170538,65,38,1,"edgware road (bakerloo)","Thames Water",39800,"Westminster","tube",2,0,0,0.5306756,323000,934963.261454674,1.89462310047887,1
9101,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"RM14","E",84,4,5.3,1.8,373,119,"Very Poor","owner-occupied",51.561893,0.243151,39,16,6,"upminster","Essex & Suffolk Water",54600,"Havering","tube",1,0,1,0.5070624,83000,236975.189882418,1.85512276966769,1
13047,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW3","D",41,2,2,0.9,253,118,"Very Poor","owner-occupied",51.555622,-0.152963,61,48,2,"gospel oak","Thames Water",58200,"Camden","light_rail",0,0,1,0.1000454,336000,958298.512120916,1.85207890512177,1
15135,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SW6","D",25,2,1.5,1.2,365,283,"Good","owner-occupied",51.477937,-0.203423,39,9,2,"parsons green","Thames Water",61900,"Hammersmith and Fulham","tube",1,0,0,0.3815396,297000,832154.360577537,1.8018665339311,1
13565,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"SE16","E",41,2,2.8,1.3,403,184,"Good","owner-occupied",51.503838,-0.043389,40,8,2,"rotherhithe","Thames Water",69100,"Southwark","light_rail",0,0,1,0.6822972,410000,1140157.92872841,1.78087299689857,1
11529,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SE2","D",90.85,5,3.9,2.5,223,141,"Good","owner-occupied",51.494333,0.115564,52,2,4,"abbey wood","Thames Water",41900,"Greenwich","rail",0,1,0,0.7469228,204000,558240.939913891,1.73647519565633,1
11798,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"NW3","D",31.03,1,3.3,3.3,712,708,"Very Poor","rental (private)",51.550035,-0.163127,52,66,2,"belsize park","Thames Water",65400,"Camden","tube",1,0,0,0.0832676,336000,916024.832948116,1.72626438377415,1
11397,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"SE1","B",46,2,1.4,1.3,169,159,"Good","rental (private)",51.50217,-0.098875,34,9,1,"borough","Thames Water",56600,"Southwark","tube",1,0,0,0.360412,259000,696862.457386837,1.69058863855922,1
13340,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W2","D",46.75,3,3.3,3.3,421,415,"Very Poor","owner-occupied",51.519086,-0.183499,74,27,2,"royal oak","Thames Water",56500,"Westminster","tube",2,0,0,0.2976506,395000,1058883.15313396,1.68071684337712,1
3971,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"W2","C",32,2,1.1,0.8,202,141,"Very Poor","rental (private)",51.513627,-0.182895,53,30,1,"bayswater","Thames Water",66700,"Westminster","tube",2,0,0,0.4958772,438000,1169908.63397058,1.67102427847164,1
8639,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","D",49.3,2,2.9,2.1,348,251,"Very Poor","rental (private)",51.397568,-0.175897,121,19,3,"mitcham","Thames Water",47500,"Merton","light_rail",0,0,1,0.3330704,157000,416427.851811386,1.65240669943558,1
1265,NA,NA,"F","N","L",NA,NA,NA,NA,NA,NA,"CR4","D",53,3,2.4,1.2,253,132,"Average","rental (private)",51.406436,-0.164461,49,23,3,"mitcham eastfields","Thames Water",45700,"Merton","rail",0,1,0,0.5741736,170000,449364.521012495,1.64332071183821,1
7627,NA,NA,"S","N","F",NA,NA,NA,NA,NA,NA,"TW8","E",65,3,5.1,0.8,467,64,"Good","owner-occupied",51.483487,-0.316189,27,11,4,"syon lane","Thames Water",51200,"Hounslow","rail",0,1,0,0.6605482,369000,973839.698512034,1.63913197428736,1
4885,NA,NA,"T","N","F",NA,NA,NA,NA,NA,NA,"SW18","D",85,4,3.1,1.2,205,77,"Average","owner-occupied",51.440993,-0.188009,52,11,3,"earlsfield","Thames Water",63100,"Wandsworth","rail",0,1,0,0.1901484,495000,1301234.7997537,1.62875717121959,1
